onset	duration	trial_no	event_type	stimulus_id	stimulus_name	category_index	image_index	response_time
0	33	1	rest	n/a	n/a	n/a	n/a	0.0
33	9	2	stimulus	2068974.007285	n02068974_7285	21.0	168.0	0.0
42	9	3	stimulus	4477387.003641	n04477387_3641	136.0	1083.0	0.0
51	9	4	stimulus	3886762.021877	n03886762_21877	100.0	798.0	0.0
60	9	5	stimulus	3886762.021877	n03886762_21877	100.0	798.0	61.040226000000004
69	9	6	stimulus	4320973.009400	n04320973_9400	125.0	1000.0	0.0
78	9	7	stimulus	2090827.010084	n02090827_10084	23.0	177.0	0.0
87	9	8	stimulus	2885462.009275	n02885462_9275	51.0	408.0	0.0
96	9	9	stimulus	3649909.021526	n03649909_21526	89.0	710.0	0.0
105	9	10	stimulus	4044716.019527	n04044716_19527	106.0	845.0	0.0
114	9	11	stimulus	12596148.009625	n12596148_9625	149.0	1192.0	0.0
123	9	12	stimulus	3335030.041867	n03335030_41867	64.0	510.0	0.0
132	9	13	stimulus	3790512.014883	n03790512_14883	95.0	756.0	0.0
141	9	14	stimulus	3760671.009669	n03760671_9669	94.0	752.0	0.0
150	9	15	stimulus	3394916.047877	n03394916_47877	67.0	536.0	0.0
159	9	16	stimulus	2391049.007263	n02391049_7263	31.0	247.0	0.0
168	9	17	stimulus	4233124.018339	n04233124_18339	118.0	943.0	0.0
177	9	18	stimulus	4233124.018339	n04233124_18339	118.0	943.0	0.0
186	9	19	stimulus	3743279.015645	n03743279_15645	92.0	732.0	0.0
195	9	20	stimulus	3743279.015645	n03743279_15645	92.0	732.0	196.044961
204	9	21	stimulus	1770393.024657	n01770393_24657	8.0	62.0	0.0
213	9	22	stimulus	2841315.014915	n02841315_14915	48.0	379.0	0.0
222	9	23	stimulus	2131653.013952	n02131653_13952	24.0	187.0	0.0
231	9	24	stimulus	4398044.014381	n04398044_14381	128.0	1019.0	0.0
240	9	25	stimulus	4398044.014381	n04398044_14381	128.0	1019.0	241.04723399999997
249	9	26	stimulus	4313503.020808	n04313503_20808	124.0	987.0	0.0
258	9	27	stimulus	1855672.011785	n01855672_11785	13.0	97.0	0.0
267	9	28	stimulus	3665924.052000	n03665924_52000	90.0	718.0	0.0
276	9	29	stimulus	3646296.001689	n03646296_1689	88.0	698.0	0.0
285	9	30	stimulus	4482393.013270	n04482393_13270	137.0	1089.0	0.0
294	9	31	stimulus	3483823.005222	n03483823_5222	75.0	595.0	0.0
303	9	32	stimulus	4401680.024985	n04401680_24985	129.0	1028.0	0.0
312	9	33	stimulus	4401680.024985	n04401680_24985	129.0	1028.0	313.043731
321	9	34	stimulus	4272054.056965	n04272054_56965	121.0	967.0	0.0
330	9	35	stimulus	3924679.006907	n03924679_6907	102.0	814.0	0.0
339	9	36	stimulus	7758680.015982	n07758680_15982	146.0	1165.0	0.0
348	9	37	stimulus	2472293.005718	n02472293_5718	35.0	280.0	0.0
357	9	38	stimulus	2503517.007340	n02503517_7340	38.0	302.0	0.0
366	9	39	stimulus	1704323.010031	n01704323_10031	5.0	33.0	0.0
375	9	40	stimulus	3494278.022114	n03494278_22114	76.0	601.0	0.0
384	9	41	stimulus	3721384.036929	n03721384_36929	91.0	726.0	0.0
393	9	42	stimulus	3793489.011217	n03793489_11217	97.0	770.0	0.0
402	9	43	stimulus	2508213.013464	n02508213_13464	39.0	308.0	0.0
411	9	44	stimulus	3543603.006861	n03543603_6861	80.0	637.0	0.0
420	9	45	stimulus	2802215.021594	n02802215_21594	45.0	356.0	0.0
429	9	46	stimulus	4442312.032591	n04442312_32591	134.0	1072.0	0.0
438	9	47	stimulus	4070727.018299	n04070727_18299	107.0	851.0	0.0
447	9	48	stimulus	1664990.013731	n01664990_13731	4.0	26.0	0.0
456	9	49	stimulus	3746005.009272	n03746005_9272	93.0	744.0	0.0
465	9	50	stimulus	3918737.008191	n03918737_8191	101.0	808.0	0.0
474	9	51	stimulus	3544143.014057	n03544143_14057	81.0	642.0	0.0
483	9	52	stimulus	3085219.008998	n03085219_8998	59.0	472.0	0.0
492	9	53	stimulus	3609235.004886	n03609235_4886	84.0	670.0	0.0
501	9	54	stimulus	4591713.004821	n04591713_4821	141.0	1124.0	0.0
510	9	55	stimulus	4612026.003878	n04612026_3878	142.0	1131.0	0.0
519	9	56	stimulus	3472535.000283	n03472535_283	74.0	589.0	0.0
528	6	57	rest	n/a	n/a	n/a	n/a	0.0
