onset	duration	trial_no	event_type	stimulus_id	stimulus_name	category_index	image_index	response_time
0	33	1	rest	n/a	n/a	n/a	n/a	0.0
33	9	2	stimulus	1726692.018809	n01726692_18809	6.0	41.0	0.0
42	9	3	stimulus	2692877.015805	n02692877_15805	40.0	316.0	0.0
51	9	4	stimulus	13111881.028475	n13111881_28475	150.0	1196.0	0.0
60	9	5	stimulus	1787835.013122	n01787835_13122	11.0	86.0	0.0
69	9	6	stimulus	2054036.015344	n02054036_15344	19.0	146.0	0.0
78	9	7	stimulus	2054036.015344	n02054036_15344	19.0	146.0	79.039693
87	9	8	stimulus	7756951.009462	n07756951_9462	145.0	1160.0	0.0
96	9	9	stimulus	4409806.004052	n04409806_4052	131.0	1044.0	0.0
105	9	10	stimulus	2236241.008966	n02236241_8966	27.0	216.0	0.0
114	9	11	stimulus	3187595.009726	n03187595_9726	60.0	480.0	0.0
123	9	12	stimulus	2769748.037730	n02769748_37730	42.0	334.0	0.0
132	9	13	stimulus	2055803.007877	n02055803_7877	20.0	157.0	0.0
141	9	14	stimulus	2084071.023836	n02084071_23836	22.0	172.0	0.0
150	9	15	stimulus	11978233.020269	n11978233_20269	147.0	1171.0	0.0
159	9	16	stimulus	4086273.028013	n04086273_28013	108.0	861.0	0.0
168	9	17	stimulus	1970164.012603	n01970164_12603	17.0	129.0	0.0
177	9	18	stimulus	1963571.019280	n01963571_19280	16.0	124.0	0.0
186	9	19	stimulus	3085013.024642	n03085013_24642	58.0	464.0	0.0
195	9	20	stimulus	2882647.007150	n02882647_7150	50.0	400.0	0.0
204	9	21	stimulus	2882647.007150	n02882647_7150	50.0	400.0	205.040004
213	9	22	stimulus	2800213.015518	n02800213_15518	44.0	347.0	0.0
222	9	23	stimulus	3982430.026431	n03982430_26431	104.0	827.0	0.0
231	9	24	stimulus	4154565.017456	n04154565_17456	113.0	901.0	0.0
240	9	25	stimulus	7734744.013895	n07734744_13895	144.0	1145.0	0.0
249	9	26	stimulus	7734744.013895	n07734744_13895	144.0	1145.0	250.04223
258	9	27	stimulus	3400231.008108	n03400231_8108	69.0	552.0	0.0
267	9	28	stimulus	3623556.016837	n03623556_16837	86.0	682.0	0.0
276	9	29	stimulus	3623556.016837	n03623556_16837	86.0	682.0	277.036735
285	9	30	stimulus	4090263.010441	n04090263_10441	109.0	865.0	0.0
294	9	31	stimulus	3607659.008657	n03607659_8657	83.0	664.0	0.0
303	9	32	stimulus	3607659.008657	n03607659_8657	83.0	664.0	304.11740699999996
312	9	33	stimulus	4225987.007933	n04225987_7933	117.0	936.0	0.0
321	9	34	stimulus	3445777.006926	n03445777_6926	72.0	573.0	0.0
330	9	35	stimulus	3792782.005665	n03792782_5665	96.0	766.0	0.0
339	9	36	stimulus	1772222.011060	n01772222_11060	9.0	66.0	0.0
348	9	37	stimulus	3642806.022775	n03642806_22775	87.0	694.0	0.0
357	9	38	stimulus	4009552.017201	n04009552_17201	105.0	836.0	0.0
366	9	39	stimulus	2998003.003934	n02998003_3934	54.0	427.0	0.0
375	9	40	stimulus	4497801.003101	n04497801_3101	138.0	1100.0	0.0
384	9	41	stimulus	3541923.003599	n03541923_3599	79.0	629.0	0.0
393	9	42	stimulus	3602883.010856	n03602883_10856	82.0	650.0	0.0
402	9	43	stimulus	4409515.006804	n04409515_6804	130.0	1039.0	0.0
411	9	44	stimulus	2814860.030610	n02814860_30610	47.0	372.0	0.0
420	9	45	stimulus	4273569.016391	n04273569_16391	122.0	972.0	0.0
429	9	46	stimulus	3612010.004285	n03612010_4285	85.0	677.0	0.0
438	9	47	stimulus	4146614.007893	n04146614_7893	112.0	895.0	0.0
447	9	48	stimulus	1944390.019988	n01944390_19988	15.0	116.0	0.0
456	9	49	stimulus	1518878.014075	n01518878_14075	1.0	3.0	0.0
465	9	50	stimulus	3512147.002038	n03512147_2038	78.0	617.0	0.0
474	9	51	stimulus	1784675.015243	n01784675_15243	10.0	75.0	0.0
483	9	52	stimulus	4373894.022727	n04373894_22727	126.0	1002.0	0.0
492	9	53	stimulus	3209910.003841	n03209910_3841	61.0	486.0	0.0
501	9	54	stimulus	4168199.009648	n04168199_9648	114.0	910.0	0.0
510	9	55	stimulus	4113406.021007	n04113406_21007	110.0	876.0	0.0
519	9	56	stimulus	2974003.002406	n02974003_2406	53.0	418.0	0.0
528	6	57	rest	n/a	n/a	n/a	n/a	0.0
