onset	duration	trial_no	event_type	stimulus_id	stimulus_name	category_index	image_index	response_time
0	33	1	rest	n/a	n/a	n/a	n/a	0.000000
33	9	2	stimulus	4090263.024512	n04090263_24512	109	868	0.000000
42	9	3	stimulus	3924679.009022	n03924679_9022	102	815	0.000000
51	9	4	stimulus	3394916.026448	n03394916_26448	67	531	0.000000
60	9	5	stimulus	3187595.017111	n03187595_17111	60	473	0.000000
69	9	6	stimulus	3472535.021289	n03472535_21289	74	588	0.000000
78	9	7	stimulus	1787835.012357	n01787835_12357	11	85	0.000000
87	9	8	stimulus	2090827.005708	n02090827_5708	23	181	0.000000
96	9	9	stimulus	3436182.012885	n03436182_12885	71	563	0.000000
105	9	10	stimulus	13111881.006560	n13111881_6560	150	1198	0.000000
114	9	11	stimulus	7758680.019085	n07758680_19085	146	1167	0.000000
123	9	12	stimulus	4313503.017853	n04313503_17853	124	985	0.000000
132	9	13	stimulus	4313503.017853	n04313503_17853	124	985	133.039731
141	9	14	stimulus	1770393.018012	n01770393_18012	8	60	0.000000
150	9	15	stimulus	3483823.003411	n03483823_3411	75	594	0.000000
159	9	16	stimulus	2799175.013505	n02799175_13505	43	338	0.000000
168	9	17	stimulus	1768244.008871	n01768244_8871	7	54	0.000000
177	9	18	stimulus	1645776.008522	n01645776_8522	3	19	0.000000
186	9	19	stimulus	2236241.007166	n02236241_7166	27	215	0.000000
195	9	20	stimulus	4591713.002310	n04591713_2310	141	1122	0.000000
204	9	21	stimulus	12596148.003502	n12596148_3502	149	1185	0.000000
213	9	22	stimulus	12596148.003502	n12596148_3502	149	1185	214.040140
222	9	23	stimulus	4086273.014599	n04086273_14599	108	859	0.000000
231	9	24	stimulus	4320973.005946	n04320973_5946	125	998	0.000000
240	9	25	stimulus	3746005.005789	n03746005_5789	93	740	0.000000
249	9	26	stimulus	2346627.005663	n02346627_5663	29	231	0.000000
258	9	27	stimulus	3609235.007270	n03609235_7270	84	671	0.000000
267	9	28	stimulus	3815615.005104	n03815615_5104	98	782	0.000000
276	9	29	stimulus	2769748.052896	n02769748_52896	42	336	0.000000
285	9	30	stimulus	1772222.012097	n01772222_12097	9	68	0.000000
294	9	31	stimulus	1772222.012097	n01772222_12097	9	68	295.040537
303	9	32	stimulus	2233338.017552	n02233338_17552	26	204	0.000000
312	9	33	stimulus	3512147.000489	n03512147_489	78	622	0.000000
321	9	34	stimulus	4612026.006008	n04612026_6008	142	1133	0.000000
330	9	35	stimulus	4477387.002204	n04477387_2204	136	1082	0.000000
339	9	36	stimulus	4477387.002204	n04477387_2204	136	1082	340.042482
348	9	37	stimulus	3792782.034550	n03792782_34550	96	765	0.000000
357	9	38	stimulus	2802215.017477	n02802215_17477	45	354	0.000000
366	9	39	stimulus	4409806.014144	n04409806_14144	131	1042	0.000000
375	9	40	stimulus	1639765.047681	n01639765_47681	2	14	0.000000
384	9	41	stimulus	2005790.011191	n02005790_11191	18	138	0.000000
393	9	42	stimulus	4123740.012463	n04123740_12463	111	882	0.000000
402	9	43	stimulus	3721384.003497	n03721384_3497	91	725	0.000000
411	9	44	stimulus	3038480.006604	n03038480_6604	55	439	0.000000
420	9	45	stimulus	3886762.009466	n03886762_9466	100	800	0.000000
429	9	46	stimulus	3544143.018625	n03544143_18625	81	644	0.000000
438	9	47	stimulus	4146614.004965	n04146614_4965	112	893	0.000000
447	9	48	stimulus	4373894.051904	n04373894_51904	126	1007	0.000000
456	9	49	stimulus	4273569.018096	n04273569_18096	122	974	0.000000
465	9	50	stimulus	1833805.007892	n01833805_7892	12	95	0.000000
474	9	51	stimulus	3467796.006847	n03467796_6847	73	582	0.000000
483	9	52	stimulus	3445777.010587	n03445777_10587	72	569	0.000000
492	9	53	stimulus	3445777.010587	n03445777_10587	72	569	493.039944
501	9	54	stimulus	2084071.034874	n02084071_34874	22	176	0.000000
510	9	55	stimulus	4497801.006187	n04497801_6187	138	1101	0.000000
519	9	56	stimulus	2814860.033006	n02814860_33006	47	373	0.000000
528	6	57	rest	n/a	n/a	n/a	n/a	0.000000
