onset	duration	trial_no	event_type	stimulus_id	stimulus_name	category_index	image_index	response_time
0	33	1	rest	n/a	n/a	n/a	n/a	0.000000
33	9	2	stimulus	3760671.012753	n03760671_12753	94	747	0.000000
42	9	3	stimulus	3746005.007486	n03746005_7486	93	742	0.000000
51	9	4	stimulus	3649909.016050	n03649909_16050	89	708	0.000000
60	9	5	stimulus	3445777.009793	n03445777_9793	72	576	0.000000
69	9	6	stimulus	3815615.029630	n03815615_29630	98	781	0.000000
78	9	7	stimulus	2090827.009359	n02090827_9359	23	184	0.000000
87	9	8	stimulus	4113406.025414	n04113406_25414	110	878	0.000000
96	9	9	stimulus	1963571.007996	n01963571_7996	16	128	0.000000
105	9	10	stimulus	4376876.011868	n04376876_11868	127	1011	0.000000
114	9	11	stimulus	4477387.004979	n04477387_4979	136	1084	0.000000
123	9	12	stimulus	2472293.024267	n02472293_24267	35	276	0.000000
132	9	13	stimulus	4612026.007179	n04612026_7179	142	1134	0.000000
141	9	14	stimulus	4612026.007179	n04612026_7179	142	1134	142.032994
150	9	15	stimulus	3359137.041860	n03359137_41860	66	527	0.000000
159	9	16	stimulus	4255586.000062	n04255586_62	120	958	0.000000
168	9	17	stimulus	2391049.003228	n02391049_3228	31	244	0.000000
177	9	18	stimulus	4591713.003315	n04591713_3315	141	1123	0.000000
186	9	19	stimulus	3607659.001318	n03607659_1318	83	657	0.000000
195	9	20	stimulus	2843158.005377	n02843158_5377	49	387	0.000000
204	9	21	stimulus	4482393.006359	n04482393_6359	137	1096	0.000000
213	9	22	stimulus	3950228.016044	n03950228_16044	103	817	0.000000
222	9	23	stimulus	3467796.004268	n03467796_4268	73	579	0.000000
231	9	24	stimulus	3079230.008270	n03079230_8270	57	456	0.000000
240	9	25	stimulus	3793489.005265	n03793489_5265	97	774	0.000000
249	9	26	stimulus	1664990.019923	n01664990_19923	4	30	0.000000
258	9	27	stimulus	1664990.019923	n01664990_19923	4	30	259.032089
267	9	28	stimulus	2766534.018271	n02766534_18271	41	325	0.000000
276	9	29	stimulus	3543603.004306	n03543603_4306	80	635	0.000000
285	9	30	stimulus	3494278.030876	n03494278_30876	76	604	0.000000
294	9	31	stimulus	4154565.010692	n04154565_10692	113	897	0.000000
303	9	32	stimulus	2814860.039856	n02814860_39856	47	376	0.000000
312	9	33	stimulus	3496296.014114	n03496296_14114	77	612	0.000000
321	9	34	stimulus	4442312.019042	n04442312_19042	134	1070	0.000000
330	9	35	stimulus	7758680.017888	n07758680_17888	146	1166	0.000000
339	9	36	stimulus	4409806.013419	n04409806_13419	131	1041	0.000000
348	9	37	stimulus	4409806.013419	n04409806_13419	131	1041	0.000000
357	9	38	stimulus	1639765.037122	n01639765_37122	2	11	0.000000
366	9	39	stimulus	12596148.006386	n12596148_6386	149	1189	0.000000
375	9	40	stimulus	3646296.007086	n03646296_7086	88	702	0.000000
384	9	41	stimulus	3261776.027103	n03261776_27103	63	501	0.000000
393	9	42	stimulus	2481823.012066	n02481823_12066	37	289	0.000000
402	9	43	stimulus	2481823.012066	n02481823_12066	37	289	403.041307
411	9	44	stimulus	4398044.035327	n04398044_35327	128	1024	0.000000
420	9	45	stimulus	3918737.019975	n03918737_19975	101	804	0.000000
429	9	46	stimulus	2974003.004448	n02974003_4448	53	420	0.000000
438	9	47	stimulus	2974003.004448	n02974003_4448	53	420	439.039871
447	9	48	stimulus	1704323.010239	n01704323_10239	5	34	0.000000
456	9	49	stimulus	4123740.015423	n04123740_15423	111	885	0.000000
465	9	50	stimulus	2068974.000106	n02068974_106	21	161	0.000000
474	9	51	stimulus	3085219.003690	n03085219_3690	59	466	0.000000
483	9	52	stimulus	2808440.043249	n02808440_43249	46	366	0.000000
492	9	53	stimulus	2802215.013634	n02802215_13634	45	353	0.000000
501	9	54	stimulus	4197391.013706	n04197391_13706	116	922	0.000000
510	9	55	stimulus	2236241.014526	n02236241_14526	27	210	0.000000
519	9	56	stimulus	3038480.000320	n03038480_320	55	437	0.000000
528	6	57	rest	n/a	n/a	n/a	n/a	0.000000
