onset	duration	trial_no	event_type	category_id	response_time	evaluation
0	33	1	rest	n/a	n/a	n/a
33	3	2	cue	3345837	52.209616	5
36	15	2	imagery	3345837	52.209616	5
51	3	2	evaluation	3345837	52.209616	5
54	3	2	inter_rest	3345837	52.209616	5
57	3	3	cue	2437136	76.486632	5
60	15	3	imagery	2437136	76.486632	5
75	3	3	evaluation	2437136	76.486632	5
78	3	3	inter_rest	2437136	76.486632	5
81	3	4	cue	4572121	100.196444	5
84	15	4	imagery	4572121	100.196444	5
99	3	4	evaluation	4572121	100.196444	5
102	3	4	inter_rest	4572121	100.196444	5
105	3	5	cue	1976957	124.024257	5
108	15	5	imagery	1976957	124.024257	5
123	3	5	evaluation	1976957	124.024257	5
126	3	5	inter_rest	1976957	124.024257	5
129	3	6	cue	1846331	148.818314	5
132	15	6	imagery	1846331	148.818314	5
147	3	6	evaluation	1846331	148.818314	5
150	3	6	inter_rest	1846331	148.818314	5
153	3	7	cue	3710193	172.126334	5
156	15	7	imagery	3710193	172.126334	5
171	3	7	evaluation	3710193	172.126334	5
174	3	7	inter_rest	3710193	172.126334	5
177	3	8	cue	3482252	196.703446	4
180	15	8	imagery	3482252	196.703446	4
195	3	8	evaluation	3482252	196.703446	4
198	3	8	inter_rest	3482252	196.703446	4
201	3	9	cue	3272010	220.181769	5
204	15	9	imagery	3272010	220.181769	5
219	3	9	evaluation	3272010	220.181769	5
222	3	9	inter_rest	3272010	220.181769	5
225	3	10	cue	2128385	244.008397	5
228	15	10	imagery	2128385	244.008397	5
243	3	10	evaluation	2128385	244.008397	5
246	3	10	inter_rest	2128385	244.008397	5
249	3	11	cue	3379051	268.185002	4
252	15	11	imagery	3379051	268.185002	4
267	3	11	evaluation	3379051	268.185002	4
270	3	11	inter_rest	3379051	268.185002	4
273	3	12	cue	4252077	292.260607	5
276	15	12	imagery	4252077	292.260607	5
291	3	12	evaluation	4252077	292.260607	5
294	3	12	inter_rest	4252077	292.260607	5
297	3	13	cue	3064758	317.238339	3
300	15	13	imagery	3064758	317.238339	3
315	3	13	evaluation	3064758	317.238339	3
318	3	13	inter_rest	3064758	317.238339	3
321	3	14	cue	4210120	340.830675	4
324	15	14	imagery	4210120	340.830675	4
339	3	14	evaluation	4210120	340.830675	4
342	3	14	inter_rest	4210120	340.830675	4
345	3	15	cue	3941684	364.539752	4
348	15	15	imagery	3941684	364.539752	4
363	3	15	evaluation	3941684	364.539752	4
366	3	15	inter_rest	3941684	364.539752	4
369	3	16	cue	3954393	388.733143	4
372	15	16	imagery	3954393	388.733143	4
387	3	16	evaluation	3954393	388.733143	4
390	3	16	inter_rest	3954393	388.733143	4
393	3	17	cue	2139199	412.659997	4
396	15	17	imagery	2139199	412.659997	4
411	3	17	evaluation	2139199	412.659997	4
414	3	17	inter_rest	2139199	412.659997	4
417	3	18	cue	3761084	436.587321	5
420	15	18	imagery	3761084	436.587321	5
435	3	18	evaluation	3761084	436.587321	5
438	3	18	inter_rest	3761084	436.587321	5
441	3	19	cue	4297750	460.429930	4
444	15	19	imagery	4297750	460.429930	4
459	3	19	evaluation	4297750	460.429930	4
462	3	19	inter_rest	4297750	460.429930	4
465	3	20	cue	2274259	485.974030	3
468	15	20	imagery	2274259	485.974030	3
483	3	20	evaluation	2274259	485.974030	3
486	3	20	inter_rest	2274259	485.974030	3
489	3	21	cue	4554684	508.134635	5
492	15	21	imagery	4554684	508.134635	5
507	3	21	evaluation	4554684	508.134635	5
510	3	21	inter_rest	4554684	508.134635	5
513	3	22	cue	4533802	533.043995	4
516	15	22	imagery	4533802	533.043995	4
531	3	22	evaluation	4533802	533.043995	4
534	3	22	inter_rest	4533802	533.043995	4
537	3	23	cue	3122295	556.704586	4
540	15	23	imagery	3122295	556.704586	4
555	3	23	evaluation	3122295	556.704586	4
558	3	23	inter_rest	3122295	556.704586	4
561	3	24	cue	3124170	580.915140	4
564	15	24	imagery	3124170	580.915140	4
579	3	24	evaluation	3124170	580.915140	4
582	3	24	inter_rest	3124170	580.915140	4
585	3	25	cue	3626115	605.312767	3
588	15	25	imagery	3626115	605.312767	3
603	3	25	evaluation	3626115	605.312767	3
606	3	25	inter_rest	3626115	605.312767	3
609	3	26	cue	3716966	0.000000	1
612	15	26	imagery	3716966	0.000000	1
627	3	26	evaluation	3716966	0.000000	1
630	3	26	inter_rest	3716966	0.000000	1
633	6	27	rest	n/a	n/a	n/a
